learn_id,learning_name,num_learnning_str,number,from_language
ja,Japanese,"2,93M",2928260,Spanish
en,English,553 χιλ.,552666,Greek
pt,Portuguese,31.0K,30952,Telugu
de,German,38.8K,38826,Telugu
en,English,395 tn,394603,Swedish
en,English,"10,7 Mn",10743738,Turkish
ko,Korean,433K,433425,Tagalog
pt,Portuguese,337 Tsd,336782,German
es,Spanish,324 K,323598,Romanian
ja,Japanese,694K,694174,Bengali
ko,Korean,73.5K,73490,Telugu
es,Spanish,21.7K,21651,Telugu
ko,Korean,"1,51 mi",1510185,Portuguese
hv,High Valyrian,826K,825991,English
pt,Portuguese,18.7万,187254,Chinese
en,English,,0,Punjabi (Gurmukhi)
zh-CN,Chinese,24.9K,24895,Telugu
ja,Japanese,"1,76 mi",1756599,Portuguese
ru,Russian,"1,69M",1688859,Spanish
es,Spanish,43.4M,43375532,English
es,Spanish,"6,50 mi",6504164,Portuguese
es,Spanish,33.5K,33543,Tamil
zh-CN,Chinese,264 B,264285,Turkish
id,Indonesian,1.17M,1166773,English
de,German,188K,187953,Bengali
ja,Japanese,115 tis.,115176,Czech
es,Spanish,310 tis.,310074,Czech
zh-CN,Chinese,195K,194772,Tagalog
en,English,"19,1 млн",19084952,Russian
ko,Korean,"97,6 K",97574,Romanian
es,Spanish,349K,349434,Indonesian
ko,Korean,488万,4879240,Chinese
fr,French,110K,109982,Bengali
gd,Scottish Gaelic,551K,551103,English
de,German,389 тис,388580,Ukrainian
sv,Swedish,,0,Russian
da,Danish,953K,952792,English
ru,Russian,8.12M,8120739,English
ja,Japanese,39.4K,39437,Telugu
fr,French,,0,French
es,Spanish,127K,126581,Bengali
sv,Swedish,238 ألف,238411,Arabic
ja,Japanese,417K,417155,Tagalog
en,English,"6,81 Mio",6807977,German
it,Italian,240 K,240456,Romanian
es,Spanish,142万,1421383,Chinese
fr,French,1.14 ส.,113646,Thai
sw,Swahili,687K,687166,English
yi,Yiddish,299K,298710,English
pt,Portuguese,1.59L,159369,Hindi
pl,Polish,2.19M,2186643,English
ja,Japanese,80.7K,80746,Tamil
zh-CN,Chinese,9.54M,9543333,English
fr,French,427 tys.,426578,Polish
sv,Swedish,273K,273177,Spanish
it,Italian,115 tn,114633,Swedish
ko,Korean,"76,8 E",76771,Hungarian
zh-CN,Chinese,161 tys.,160503,Polish
zh-CN,Chinese,"41,5 tn",41522,Swedish
it,Italian,48.0K,47990,Tamil
it,Italian,147 χιλ.,147263,Greek
ro,Romanian,916K,916014,English
ko,Korean,241万,2405330,Japanese
en,English,,0,Bulgarian
ko,Korean,119K,119047,Tamil
zh-CN,Chinese,"1,54 млн",1537254,Russian
ja,Japanese,856万,8561939,Chinese
de,German,29.2万,292379,Japanese
